,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
138,Fun Slot Machine Las Vegas Pro,GAME_CASINO,4.5,12,0.99,50,Fortune Wheel of Slot Machine,https://play.google.com/store/apps/details?id=com.fortunewheel.funfreeslotspro,49.5
139,Carnival Fiesta Slots PAID,GAME_CASINO,3.8,54,1.99,1000,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.CarnivalFiestaSlots,1990.0
140,Crock O'Gold Rainbow Slots PAID,GAME_CASINO,,0,1.99,10,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.CrockOGoldSlotsPAID,19.9
141,Blackjack Verite Drills,GAME_CASINO,4.6,17,14.0,500,QFIT (Norman Wattenberger),https://play.google.com/store/apps/details?id=com.nsbasic.bjvdrills,7000.0
142,Speed Rush Las Vegas VIP Slot,GAME_CASINO,4.4,9,0.99,100,Duksel Slots & Games,https://play.google.com/store/apps/details?id=com.duksel.slotspeedrush.vip,99.0
143,Egypt Reels of Luxor Slots PAID,GAME_CASINO,3.9,108,1.99,5000,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.EgyptReelsOfLuxor,9950.0
144,Best Hold,GAME_CASINO,5.0,0,4.99,10,VideoPoker.com,https://play.google.com/store/apps/details?id=com.actiongaming.besthold,49.900000000000006
145,Baccarat Mastery Pro,GAME_CASINO,4.7,6,1.99,100,WebMo IT Pte. Ltd.,https://play.google.com/store/apps/details?id=com.webmoit.baccaratmasterypro,199.0
146,Play Perfect Video Poker Pro,GAME_CASINO,5.0,7,15.0,100,"PlayPerfect, LLC",https://play.google.com/store/apps/details?id=com.playperfectllc.playperfectvppro,1500.0
147,Poker Notes Live - Premium,GAME_CASINO,3.4,21,4.99,500,Robbie Strazynski,https://play.google.com/store/apps/details?id=live.table,2495.0
148,Monkey Money 2 Slots,GAME_CASINO,3.3,90,2.49,5000,616 Digital LLC.,https://play.google.com/store/apps/details?id=com.pokiemagic.MonkeyMoney2,12450.000000000002
